name,spawnable,useType,type,status,rarity,statMin,statMax,cost,itemImage,inventoryImage
swd01,1,weapon,sword,damage,1,8,11,150,Sprites/Items_0,icons/equip/swd01
swd02,1,weapon,sword,damage,2,14,18,550,Sprites/Items_0,icons/equip/swd02
swd03,1,weapon,sword,damage,3,20,25,1070,Sprites/Items_0,icons/equip/swd03
swd04,1,weapon,sword,damage,3,30,35,2400,Sprites/Items_0,icons/equip/swd04
swd05,1,weapon,sword,damage,4,40,50,4500,Sprites/Items_0,icons/equip/swd05
swd06,1,weapon,sword,damage,5,60,70,6500,Sprites/Items_0,icons/equip/swd06
swd07,1,weapon,sword,damage,6,75,85,9000,Sprites/Items_0,icons/equip/swd07
swd08,1,weapon,sword,damage,7,85,100,10000,Sprites/Items_0,icons/equip/swd08
swd09,1,weapon,sword,damage,8,115,130,22000,Sprites/Items_0,icons/equip/swd09
swd10,1,weapon,sword,damage,9,130,145,23000,Sprites/Items_0,icons/equip/swd10
swd11,1,weapon,sword,damage,10,145,160,35000,Sprites/Items_0,icons/equip/swd11
swd12,1,weapon,sword,damage,11,160,180,48000,Sprites/Items_0,icons/equip/swd12
swd13,1,weapon,sword,damage,12,200,230,73000,Sprites/Items_0,icons/equip/swd13
,,,,,,,,,,
axe01,1,weapon,axe,damage,1,8,11,150,Sprites/Items_2,icons/equip/axe01
axe02,1,weapon,axe,damage,2,14,18,550,Sprites/Items_2,icons/equip/axe02
axe03,1,weapon,axe,damage,3,20,25,1070,Sprites/Items_2,icons/equip/axe03
axe04,1,weapon,axe,damage,3,30,35,2400,Sprites/Items_2,icons/equip/axe04
axe05,1,weapon,axe,damage,4,40,50,4500,Sprites/Items_2,icons/equip/axe05
axe06,1,weapon,axe,damage,5,60,70,6500,Sprites/Items_2,icons/equip/axe06
axe07,1,weapon,axe,damage,6,75,85,9000,Sprites/Items_2,icons/equip/axe07
axe08,1,weapon,axe,damage,7,85,100,10000,Sprites/Items_2,icons/equip/axe08
axe09,1,weapon,axe,damage,8,115,130,22000,Sprites/Items_2,icons/equip/axe09
axe10,1,weapon,axe,damage,9,130,145,23000,Sprites/Items_2,icons/equip/axe10
axe11,1,weapon,axe,damage,10,145,160,35000,Sprites/Items_2,icons/equip/axe11
axe12,1,weapon,axe,damage,11,160,180,48000,Sprites/Items_2,icons/equip/axe12
axe13,1,weapon,axe,damage,12,200,230,73000,Sprites/Items_2,icons/equip/axe13
,,,,,,,,,,
gun01,1,weapon,gun,damage,1,8,11,150,Sprites/Items_43,icons/equip/gun01
gun02,1,weapon,gun,damage,2,14,18,550,Sprites/Items_43,icons/equip/gun02
gun03,1,weapon,gun,damage,3,20,25,1070,Sprites/Items_43,icons/equip/gun03
gun04,1,weapon,gun,damage,3,30,35,2400,Sprites/Items_43,icons/equip/gun04
gun05,1,weapon,gun,damage,4,40,50,4500,Sprites/Items_43,icons/equip/gun05
gun06,1,weapon,gun,damage,5,60,70,6500,Sprites/Items_43,icons/equip/gun06
gun07,1,weapon,gun,damage,6,75,85,9000,Sprites/Items_43,icons/equip/gun07
gun08,1,weapon,gun,damage,7,85,100,10000,Sprites/Items_43,icons/equip/gun08
gun09,1,weapon,gun,damage,8,115,130,22000,Sprites/Items_43,icons/equip/gun09
gun10,1,weapon,gun,damage,9,130,145,23000,Sprites/Items_43,icons/equip/gun10
gun11,1,weapon,gun,damage,10,145,160,35000,Sprites/Items_43,icons/equip/gun11
gun12,1,weapon,gun,damage,11,160,180,48000,Sprites/Items_43,icons/equip/gun12
gun13,1,weapon,gun,damage,12,200,230,73000,Sprites/Items_43,icons/equip/gun13
,,,,,,,,,,
bow01,1,weapon,bow,damage,1,8,11,150,Sprites/Items_60,icons/equip/bow01
bow02,1,weapon,bow,damage,2,14,18,550,Sprites/Items_60,icons/equip/bow02
bow03,1,weapon,bow,damage,3,20,25,1070,Sprites/Items_60,icons/equip/bow03
bow04,1,weapon,bow,damage,3,30,35,2400,Sprites/Items_60,icons/equip/bow04
bow05,1,weapon,bow,damage,4,40,50,4500,Sprites/Items_60,icons/equip/bow05
bow06,1,weapon,bow,damage,5,60,70,6500,Sprites/Items_60,icons/equip/bow06
bow07,1,weapon,bow,damage,6,75,85,9000,Sprites/Items_60,icons/equip/bow07
bow08,1,weapon,bow,damage,7,85,100,10000,Sprites/Items_60,icons/equip/bow08
bow09,1,weapon,bow,damage,8,115,130,22000,Sprites/Items_60,icons/equip/bow09
